EAN	Produkt	Kategorie	UVP	LieferbarAb
536277	Mushroom - Shitake, Fresh	Casework	159.55	12.06.2022
537007	Jam - Raspberry	Masonry & Precast	236.16	04.09.2022
539417	Coke - Diet, 355 Ml	RF Shielding		
563312	Squash - Guords	Retaining Wall and Brick Pavers	412.78	30.07.2022
574152	Towel Multifold	Wall Protection	320.05	31.03.2022
576631	Muffin Mix - Raisin Bran	Drywall & Acoustical (FED)	41.93	
592042	Nectarines	Masonry & Precast	36.82	
608226	Godiva White Chocolate	Wall Protection	83.96	
612286	Shrimp - Baby, Warm Water	RF Shielding	968.74	
613886	Glove - Cutting	Masonry & Precast	391.91	
624306	Lamb - Whole, Fresh	Landscaping & Irrigation		09.04.2022
627341	Latex Rubber Gloves Size 9	Masonry & Precast	752.46	
629339	Cheese - Feta	Casework	85.22	
631452	Water - Tonic	Drywall & Acoustical (FED)	651.05	
641601	Cleaner - Pine Sol	Retaining Wall and Brick Pavers	298.86	
654164	Fork - Plastic	Retaining Wall and Brick Pavers		
660172	Bread Cranberry Foccacia	RF Shielding	165.53	
676531	Shiratamako - Rice Flour	Casework		26.10.2022
680278	Butter Sweet	Masonry & Precast		21.03.2022
689292	Tomatoes - Diced, Canned	Masonry & Precast		
703392	Burger Veggie	Wall Protection	538.94	
710696	Wine - Hardys Bankside Shiraz	Masonry & Precast		14.01.2022
714872	C - Plus, Orange	Masonry & Precast		05.05.2022
715982	Rum - Cream, Amarula	Electrical and Fire Alarm		
742376	Wine - George Duboeuf Rose	Wall Protection	602.03	02.06.2022
743756	Cookies - Englishbay Wht	Casework	89.97	
783883	Beer - Guiness	Landscaping & Irrigation		14.10.2022
785949	Wine - George Duboeuf Rose	Masonry & Precast		10.02.2022
796486	Nantucket Apple Juice	Masonry & Precast	881.61	
864382	Spinach - Packaged	Masonry & Precast	862.61	
867631	Shrimp - Baby, Warm Water	Retaining Wall and Brick Pavers		07.02.2022
875324	Vermacelli - Sprinkles, Assorted	Epoxy Flooring	375.93	
876571	Bread - Bistro Sour	Casework		23.05.2022
883267	Lamb - Leg, Diced	Masonry & Precast	923.8	
886331	Bread - White, Unsliced	Landscaping & Irrigation		31.03.2022
889794	Syrup - Kahlua Chocolate	Epoxy Flooring	822.6	
903255	Potatoes - Parissienne	Epoxy Flooring		28.10.2022
911201	Oyster - In Shell	Overhead Doors		20.08.2022
916876	Garlic - Elephant	Casework	788.64	
924002	Ecolab - Hand Soap Form Antibac	Wall Protection	322.57	03.09.2022
932100	Flounder - Fresh	Electrical and Fire Alarm	319.48	
943822	Pasta - Orecchiette	Masonry & Precast	416.2	22.02.2022
948240	Yeast Dry - Fermipan	Landscaping & Irrigation	994.34	
960456	Ham - Cooked Bayonne Tinned	RF Shielding		19.10.2022
964698	Muffin Batt - Carrot Spice	Casework	168.88	
977243	Bread - Rye	Drywall & Acoustical (FED)	806.43	
985744	Rum - Spiced, Captain Morgan	Electrical and Fire Alarm		
986787	Mop Head - Cotton, 24 Oz	Masonry & Precast	687.6	
987460	Rice Pilaf, Dry,package	Overhead Doors	822.68	
